# NH3 Catalyst Database - 300 Entries
# Parsed from comprehensive catalyst compilation
# Format: ID,Formula,Name,Category,Notes,SMILES_Representable

# PART 1: First 100 Catalysts

# 1. IRON-BASED CATALYSTS (Traditional Haber-Bosch)
1,Fe3O4,Magnetite with K2O/Al2O3 promoters,Iron-based,Classic industrial Haber-Bosch catalyst,No
2,FeO,Wüstite-based Fe catalyst,Iron-based,Reduced iron oxide with promoters,No
3,Fe-K2O-Al2O3-CaO,Multi-promoted iron,Iron-based,Multi-promoted iron catalyst,No
4,Fe-Co,Iron-cobalt alloy,Iron-based,Enhanced activity over pure Fe,No
5,Fe-Ni,Iron-nickel alloy,Iron-based,Improved nitrogen activation,No
6,Fe91Zr9,Iron-zirconium alloy,Iron-based,Amorphous iron-zirconium alloy,No
7,Fe/BaH2,Iron on barium hydride,Iron-based,Iron on barium hydride support,No
8,Fe/C12A7:e-,Iron on electride,Iron-based,Iron on electride support,No
9,AlH-K+/Fe,Inverse catalyst,Iron-based,Novel inverse structure design,No
10,Fe-Co/C-N,Bimetallic on porous carbon,Iron-based,Bimetallic on porous support,No

# 2. RUTHENIUM-BASED CATALYSTS (2nd Generation)
11,Ru/MgO,Ruthenium on magnesia,Ruthenium-based,Classic supported Ru catalyst,No
12,Ru/Al2O3,Ruthenium on alumina,Ruthenium-based,Alumina-supported ruthenium,No
13,Ru/C,Ruthenium on carbon,Ruthenium-based,Carbon-supported ruthenium,No
14,Ru-Cs/MgO,Cesium-promoted Ru,Ruthenium-based,Cesium-promoted Ru catalyst,No
15,Ru-Ba/MgO,Barium-promoted Ru,Ruthenium-based,Barium-promoted Ru catalyst,No
16,Ru-K/AC,Potassium-promoted Ru,Ruthenium-based,Potassium-promoted Ru on carbon,No
17,Ru/C12A7:e-,Ru on electride,Ruthenium-based,Electride-supported Ru high performance,No
18,Ru/Ca2N:e-,Ru on 2D electride,Ruthenium-based,2D electride support,No
19,Ru/CaH2,Ru on calcium hydride,Ruthenium-based,Calcium hydride support,No
20,Ru/Ca2NH,Ru on calcium nitride hydride,Ruthenium-based,Calcium nitride hydride support,No
21,Ru/BaH2,Ru on barium hydride,Ruthenium-based,Barium hydride support,No
22,Ru/Ca(NH2)2,Ru on calcium amide,Ruthenium-based,Calcium amide matrix,No
23,Ru-Ba/Ca(NH2)2,Ru-Ba core-shell,Ruthenium-based,Self-organized nanoparticles,No
24,Ru/ZrO2-N,Ru on N-modified zirconia,Ruthenium-based,Nitrogen-modified zirconia support,No
25,Ru/Y2O3,Ru on yttria,Ruthenium-based,Yttrium oxide support,No
26,Ru/Sm2O3,Ru on samaria,Ruthenium-based,Samarium oxide support,No
27,Ru/CaCN2,Ru on calcium cyanamide,Ruthenium-based,Calcium cyanamide support,No
28,Ru/La2O3,Ru on lanthana,Ruthenium-based,Lanthanum oxide support,No
29,Ru/Pr6O11,Ru on praseodymia,Ruthenium-based,Praseodymium oxide support,No
30,Ru/BaO-CaO,Ru on mixed oxide,Ruthenium-based,Mixed oxide support,No

# 3. COBALT-BASED CATALYSTS
31,Co/C12A7:e-,Cobalt on electride,Cobalt-based,Cobalt on electride,No
32,Co3Mo3N,Cobalt molybdenum nitride,Cobalt-based,Cobalt molybdenum nitride,No
33,Co-Mo/Al2O3,Co-Mo bimetallic,Cobalt-based,Bimetallic on alumina,No
34,Co/BaH2,Cobalt on barium hydride,Cobalt-based,Cobalt on barium hydride,No
35,Co/LaN,Cobalt on lanthanum nitride,Cobalt-based,Cobalt on lanthanum nitride,No
36,LaCoSi,Intermetallic,Cobalt-based,Ternary intermetallic compound,No
